sms,amount,transaction_type,bank,merchant,account,date,reference,category
Rs 6905.4 received to Amazon from your A/c x6503 on 03/03/2025. Ref 6090104471,6905.4,received,HDFC,Amazon,x6503,03/03/2025,6090104471,Shopping
Rs 3917.27 sent to Flipkart from your A/c x4500 on 27/07/2023. Ref 7570515842,3917.27,sent,HSBC,Flipkart,x4500,27/07/2023,7570515842,Grocery
Rs 3269.5 received to Uber from your A/c x3489 on 08/03/2025. Ref 6041827146,3269.5,received,HDFC,Uber,x3489,08/03/2025,6041827146,Shopping
Rs 8082.67 sent to Swiggy from your A/c x7498 on 24/01/2024. Ref 6069224300,8082.67,sent,HDFC,Swiggy,x7498,24/01/2024,6069224300,Food
Rs 7342.8 sent to Amazon from your A/c x3245 on 13/02/2025. Ref 6330277049,7342.8,sent,HSBC,Amazon,x3245,13/02/2025,6330277049,Shopping
Rs 4057.4 debited to BigBasket from your A/c x4591 on 08/04/2023. Ref 2391265466,4057.4,debited,Kotak,BigBasket,x4591,08/04/2023,2391265466,Transport
Rs 1530.81 debited to Zomato from your A/c x2595 on 21/08/2024. Ref 6087129727,1530.81,debited,SBI,Zomato,x2595,21/08/2024,6087129727,Food
Rs 6272.39 received to Zomato from your A/c x1998 on 18/11/2023. Ref 7171658171,6272.39,received,Axis,Zomato,x1998,18/11/2023,7171658171,Food
Rs 7747.23 credited to Uber from your A/c x6261 on 13/06/2023. Ref 6430342090,7747.23,credited,SBI,Uber,x6261,13/06/2023,6430342090,Shopping
Rs 1957.24 credited to BigBasket from your A/c x9306 on 31/07/2024. Ref 1445027211,1957.24,credited,Kotak,BigBasket,x9306,31/07/2024,1445027211,Transport
Rs 7466.93 debited to Amazon from your A/c x3565 on 03/02/2024. Ref 5068948756,7466.93,debited,HDFC,Amazon,x3565,03/02/2024,5068948756,Shopping
Rs 5465.89 credited to Swiggy from your A/c x9167 on 13/09/2024. Ref 7272878620,5465.89,credited,Axis,Swiggy,x9167,13/09/2024,7272878620,Food
Rs 9278.12 sent to BigBasket from your A/c x7325 on 02/06/2023. Ref 5206104329,9278.12,sent,SBI,BigBasket,x7325,02/06/2023,5206104329,Transport
Rs 6343.03 debited to Amazon from your A/c x3955 on 15/12/2023. Ref 7223583885,6343.03,debited,HDFC,Amazon,x3955,15/12/2023,7223583885,Shopping
Rs 7842.55 credited to Uber from your A/c x6755 on 07/01/2024. Ref 8584835171,7842.55,credited,HDFC,Uber,x6755,07/01/2024,8584835171,Shopping
Rs 3345.05 credited to Uber from your A/c x5716 on 06/01/2025. Ref 5792736368,3345.05,credited,SBI,Uber,x5716,06/01/2025,5792736368,Shopping
Rs 4763.02 debited to Uber from your A/c x1978 on 29/11/2024. Ref 7463473807,4763.02,debited,ICICI,Uber,x1978,29/11/2024,7463473807,Shopping
Rs 5856.77 credited to Zomato from your A/c x8549 on 05/06/2024. Ref 7864962620,5856.77,credited,ICICI,Zomato,x8549,05/06/2024,7864962620,Food
Rs 2877.67 credited to BigBasket from your A/c x5090 on 30/08/2023. Ref 2554439439,2877.67,credited,SBI,BigBasket,x5090,30/08/2023,2554439439,Transport
Rs 7764.22 credited to Flipkart from your A/c x1763 on 07/03/2025. Ref 9977796291,7764.22,credited,Axis,Flipkart,x1763,07/03/2025,9977796291,Grocery
Rs 6221.0 received to Flipkart from your A/c x9520 on 04/01/2025. Ref 1371310842,6221.0,received,HSBC,Flipkart,x9520,04/01/2025,1371310842,Grocery
Rs 7340.95 sent to Flipkart from your A/c x4643 on 20/09/2024. Ref 6766119956,7340.95,sent,ICICI,Flipkart,x4643,20/09/2024,6766119956,Grocery
Rs 5224.82 credited to Amazon from your A/c x1958 on 08/07/2024. Ref 8353717600,5224.82,credited,HSBC,Amazon,x1958,08/07/2024,8353717600,Shopping
Rs 7946.81 sent to Uber from your A/c x4554 on 16/01/2024. Ref 1338894054,7946.81,sent,SBI,Uber,x4554,16/01/2024,1338894054,Shopping
Rs 1388.85 debited to Zomato from your A/c x6266 on 02/04/2023. Ref 2995137460,1388.85,debited,ICICI,Zomato,x6266,02/04/2023,2995137460,Food
Rs 1459.29 credited to Amazon from your A/c x5783 on 17/03/2023. Ref 5753369780,1459.29,credited,ICICI,Amazon,x5783,17/03/2023,5753369780,Shopping
Rs 3649.31 received to Flipkart from your A/c x2005 on 22/10/2023. Ref 9082514552,3649.31,received,SBI,Flipkart,x2005,22/10/2023,9082514552,Grocery
Rs 7403.06 sent to Zomato from your A/c x5678 on 24/09/2024. Ref 4950300386,7403.06,sent,ICICI,Zomato,x5678,24/09/2024,4950300386,Food
Rs 5724.67 debited to Uber from your A/c x7542 on 04/03/2024. Ref 1520335307,5724.67,debited,Axis,Uber,x7542,04/03/2024,1520335307,Shopping
Rs 3974.0 credited to Zomato from your A/c x1773 on 26/08/2024. Ref 7215422735,3974.0,credited,ICICI,Zomato,x1773,26/08/2024,7215422735,Food
Rs 5958.71 received to BigBasket from your A/c x7797 on 26/10/2023. Ref 3880362406,5958.71,received,ICICI,BigBasket,x7797,26/10/2023,3880362406,Transport
Rs 3461.2 received to Swiggy from your A/c x5838 on 13/10/2023. Ref 9988766688,3461.2,received,HSBC,Swiggy,x5838,13/10/2023,9988766688,Food
Rs 907.78 debited to Flipkart from your A/c x7477 on 08/03/2025. Ref 7965329735,907.78,debited,HDFC,Flipkart,x7477,08/03/2025,7965329735,Grocery
Rs 9580.3 credited to Uber from your A/c x6130 on 20/08/2024. Ref 6851699042,9580.3,credited,Kotak,Uber,x6130,20/08/2024,6851699042,Shopping
Rs 7223.08 sent to Uber from your A/c x5744 on 20/11/2024. Ref 3542815331,7223.08,sent,HDFC,Uber,x5744,20/11/2024,3542815331,Shopping
Rs 1155.96 sent to Swiggy from your A/c x9924 on 17/03/2024. Ref 2646138024,1155.96,sent,Kotak,Swiggy,x9924,17/03/2024,2646138024,Food
Rs 814.4 debited to BigBasket from your A/c x5414 on 28/01/2025. Ref 4346535506,814.4,debited,HDFC,BigBasket,x5414,28/01/2025,4346535506,Transport
Rs 4959.52 credited to Zomato from your A/c x2313 on 25/05/2023. Ref 6214794791,4959.52,credited,SBI,Zomato,x2313,25/05/2023,6214794791,Food
Rs 407.66 received to Amazon from your A/c x9853 on 27/09/2023. Ref 7355077425,407.66,received,Kotak,Amazon,x9853,27/09/2023,7355077425,Shopping
Rs 7530.19 sent to Amazon from your A/c x6372 on 25/04/2024. Ref 8904421495,7530.19,sent,Axis,Amazon,x6372,25/04/2024,8904421495,Shopping
Rs 3710.84 received to Uber from your A/c x4395 on 27/09/2023. Ref 6051501600,3710.84,received,Kotak,Uber,x4395,27/09/2023,6051501600,Shopping
Rs 935.97 sent to Amazon from your A/c x5327 on 04/05/2023. Ref 4061261273,935.97,sent,HDFC,Amazon,x5327,04/05/2023,4061261273,Shopping
Rs 9140.28 debited to BigBasket from your A/c x3467 on 23/07/2023. Ref 5850504295,9140.28,debited,Axis,BigBasket,x3467,23/07/2023,5850504295,Transport
Rs 1920.11 received to BigBasket from your A/c x3018 on 11/05/2024. Ref 4684999989,1920.11,received,HSBC,BigBasket,x3018,11/05/2024,4684999989,Transport
Rs 4773.54 credited to Flipkart from your A/c x8244 on 13/08/2023. Ref 9672801753,4773.54,credited,Axis,Flipkart,x8244,13/08/2023,9672801753,Grocery
Rs 4771.9 credited to Amazon from your A/c x8958 on 09/10/2024. Ref 3171145967,4771.9,credited,Axis,Amazon,x8958,09/10/2024,3171145967,Shopping
Rs 1082.69 sent to Flipkart from your A/c x4693 on 22/12/2023. Ref 3522898394,1082.69,sent,Kotak,Flipkart,x4693,22/12/2023,3522898394,Grocery
Rs 7745.62 credited to Zomato from your A/c x9309 on 28/04/2024. Ref 4596642352,7745.62,credited,Axis,Zomato,x9309,28/04/2024,4596642352,Food
Rs 4974.78 debited to Amazon from your A/c x5902 on 04/02/2024. Ref 1544284656,4974.78,debited,ICICI,Amazon,x5902,04/02/2024,1544284656,Shopping
Rs 2293.59 debited to Swiggy from your A/c x7583 on 26/11/2024. Ref 2459559011,2293.59,debited,HSBC,Swiggy,x7583,26/11/2024,2459559011,Food
Rs 6363.45 debited to Swiggy from your A/c x7882 on 21/05/2023. Ref 4540550546,6363.45,debited,Kotak,Swiggy,x7882,21/05/2023,4540550546,Food
Rs 4123.28 debited to Zomato from your A/c x6176 on 10/11/2024. Ref 1563216381,4123.28,debited,SBI,Zomato,x6176,10/11/2024,1563216381,Food
Rs 9054.45 credited to BigBasket from your A/c x8512 on 28/11/2024. Ref 4560713617,9054.45,credited,Axis,BigBasket,x8512,28/11/2024,4560713617,Transport
Rs 2223.97 sent to Flipkart from your A/c x8472 on 10/03/2025. Ref 6073476196,2223.97,sent,ICICI,Flipkart,x8472,10/03/2025,6073476196,Grocery
Rs 9339.56 credited to BigBasket from your A/c x1456 on 17/12/2023. Ref 7043572919,9339.56,credited,Kotak,BigBasket,x1456,17/12/2023,7043572919,Transport
Rs 1887.3 debited to Flipkart from your A/c x1555 on 04/05/2023. Ref 5490963489,1887.3,debited,HSBC,Flipkart,x1555,04/05/2023,5490963489,Grocery
Rs 912.36 debited to Uber from your A/c x2461 on 27/08/2023. Ref 9971766447,912.36,debited,HDFC,Uber,x2461,27/08/2023,9971766447,Shopping
Rs 9010.57 received to BigBasket from your A/c x5381 on 10/01/2025. Ref 7978583800,9010.57,received,HSBC,BigBasket,x5381,10/01/2025,7978583800,Transport
Rs 7180.41 credited to Uber from your A/c x7947 on 26/11/2024. Ref 7664771208,7180.41,credited,HSBC,Uber,x7947,26/11/2024,7664771208,Shopping
Rs 1004.73 sent to Flipkart from your A/c x4391 on 19/11/2023. Ref 6295853826,1004.73,sent,HSBC,Flipkart,x4391,19/11/2023,6295853826,Grocery
Rs 8519.54 sent to Amazon from your A/c x2204 on 10/02/2024. Ref 1092885822,8519.54,sent,SBI,Amazon,x2204,10/02/2024,1092885822,Shopping
Rs 1263.04 received to Amazon from your A/c x5252 on 30/05/2024. Ref 4459316720,1263.04,received,ICICI,Amazon,x5252,30/05/2024,4459316720,Shopping
Rs 3104.89 credited to Flipkart from your A/c x6472 on 11/07/2023. Ref 5134292179,3104.89,credited,Axis,Flipkart,x6472,11/07/2023,5134292179,Grocery
Rs 8094.03 debited to Uber from your A/c x2138 on 23/09/2024. Ref 6089746598,8094.03,debited,SBI,Uber,x2138,23/09/2024,6089746598,Shopping
Rs 4871.46 credited to Amazon from your A/c x3912 on 07/07/2024. Ref 1311367768,4871.46,credited,SBI,Amazon,x3912,07/07/2024,1311367768,Shopping
Rs 1582.72 sent to Flipkart from your A/c x4590 on 06/04/2023. Ref 8592211985,1582.72,sent,SBI,Flipkart,x4590,06/04/2023,8592211985,Grocery
Rs 9841.57 debited to BigBasket from your A/c x6022 on 12/06/2024. Ref 3542949967,9841.57,debited,HDFC,BigBasket,x6022,12/06/2024,3542949967,Transport
Rs 4692.8 sent to Amazon from your A/c x5026 on 18/11/2024. Ref 6492021047,4692.8,sent,HSBC,Amazon,x5026,18/11/2024,6492021047,Shopping
Rs 3656.53 sent to Flipkart from your A/c x7004 on 13/07/2024. Ref 4306058892,3656.53,sent,Kotak,Flipkart,x7004,13/07/2024,4306058892,Grocery
Rs 931.58 sent to Flipkart from your A/c x6469 on 01/10/2023. Ref 2650396431,931.58,sent,HDFC,Flipkart,x6469,01/10/2023,2650396431,Grocery
Rs 8424.67 received to Zomato from your A/c x8861 on 21/01/2025. Ref 5316970991,8424.67,received,SBI,Zomato,x8861,21/01/2025,5316970991,Food
Rs 584.51 sent to Amazon from your A/c x9416 on 07/11/2024. Ref 7850806155,584.51,sent,SBI,Amazon,x9416,07/11/2024,7850806155,Shopping
Rs 3786.82 debited to BigBasket from your A/c x7625 on 12/03/2025. Ref 8724813124,3786.82,debited,Kotak,BigBasket,x7625,12/03/2025,8724813124,Transport
Rs 8599.39 debited to Flipkart from your A/c x8104 on 21/09/2024. Ref 7872929652,8599.39,debited,SBI,Flipkart,x8104,21/09/2024,7872929652,Grocery
Rs 3648.64 debited to Swiggy from your A/c x4275 on 25/09/2023. Ref 5025297681,3648.64,debited,HSBC,Swiggy,x4275,25/09/2023,5025297681,Food
Rs 2601.32 debited to Uber from your A/c x9741 on 26/08/2024. Ref 8118740901,2601.32,debited,Axis,Uber,x9741,26/08/2024,8118740901,Shopping
Rs 2904.56 credited to Zomato from your A/c x4143 on 15/12/2024. Ref 7489573205,2904.56,credited,Axis,Zomato,x4143,15/12/2024,7489573205,Food
Rs 6993.08 credited to Amazon from your A/c x1807 on 17/10/2024. Ref 6069718252,6993.08,credited,ICICI,Amazon,x1807,17/10/2024,6069718252,Shopping
Rs 823.56 sent to Swiggy from your A/c x2920 on 26/07/2024. Ref 1451748153,823.56,sent,HSBC,Swiggy,x2920,26/07/2024,1451748153,Food
Rs 4679.48 sent to BigBasket from your A/c x2870 on 23/02/2025. Ref 9000158352,4679.48,sent,ICICI,BigBasket,x2870,23/02/2025,9000158352,Transport
Rs 9553.65 received to BigBasket from your A/c x5987 on 03/01/2025. Ref 4890411036,9553.65,received,SBI,BigBasket,x5987,03/01/2025,4890411036,Transport
Rs 992.11 sent to BigBasket from your A/c x7789 on 14/03/2024. Ref 9166644125,992.11,sent,SBI,BigBasket,x7789,14/03/2024,9166644125,Transport
Rs 8900.63 sent to Amazon from your A/c x9674 on 22/05/2023. Ref 3072524063,8900.63,sent,Kotak,Amazon,x9674,22/05/2023,3072524063,Shopping
Rs 6656.63 debited to BigBasket from your A/c x7568 on 01/02/2025. Ref 3709224077,6656.63,debited,ICICI,BigBasket,x7568,01/02/2025,3709224077,Transport
Rs 5698.17 received to Amazon from your A/c x3062 on 23/06/2024. Ref 7169352124,5698.17,received,Kotak,Amazon,x3062,23/06/2024,7169352124,Shopping
Rs 3859.99 sent to Swiggy from your A/c x4526 on 22/05/2023. Ref 7807634855,3859.99,sent,Axis,Swiggy,x4526,22/05/2023,7807634855,Food
Rs 8512.89 debited to Zomato from your A/c x6938 on 07/06/2024. Ref 5115770232,8512.89,debited,HSBC,Zomato,x6938,07/06/2024,5115770232,Food
Rs 4039.72 debited to Uber from your A/c x8638 on 04/04/2023. Ref 1613768284,4039.72,debited,ICICI,Uber,x8638,04/04/2023,1613768284,Shopping
Rs 7023.77 credited to Uber from your A/c x7529 on 11/11/2023. Ref 8134332394,7023.77,credited,ICICI,Uber,x7529,11/11/2023,8134332394,Shopping
Rs 6917.5 received to Flipkart from your A/c x2354 on 02/01/2025. Ref 5037268960,6917.5,received,HDFC,Flipkart,x2354,02/01/2025,5037268960,Grocery
Rs 1221.77 received to Zomato from your A/c x1399 on 19/08/2024. Ref 7404375237,1221.77,received,Axis,Zomato,x1399,19/08/2024,7404375237,Food
Rs 4430.36 debited to Swiggy from your A/c x9032 on 05/09/2023. Ref 3009481709,4430.36,debited,HDFC,Swiggy,x9032,05/09/2023,3009481709,Food
Rs 6864.46 credited to Swiggy from your A/c x4961 on 29/01/2025. Ref 7333074225,6864.46,credited,SBI,Swiggy,x4961,29/01/2025,7333074225,Food
Rs 6886.96 sent to Swiggy from your A/c x8739 on 29/09/2023. Ref 8812715558,6886.96,sent,Axis,Swiggy,x8739,29/09/2023,8812715558,Food
Rs 5694.38 sent to Zomato from your A/c x4666 on 13/02/2025. Ref 1882027585,5694.38,sent,HSBC,Zomato,x4666,13/02/2025,1882027585,Food
Rs 113.19 sent to Uber from your A/c x7418 on 15/12/2024. Ref 8834699507,113.19,sent,Axis,Uber,x7418,15/12/2024,8834699507,Shopping
Rs 2605.01 credited to Zomato from your A/c x5754 on 21/02/2024. Ref 2308628838,2605.01,credited,SBI,Zomato,x5754,21/02/2024,2308628838,Food
Rs 1599.26 credited to Amazon from your A/c x4030 on 25/08/2024. Ref 5449612216,1599.26,credited,ICICI,Amazon,x4030,25/08/2024,5449612216,Shopping
Rs 2485.71 credited to Swiggy from your A/c x4764 on 12/08/2023. Ref 7576877913,2485.71,credited,Axis,Swiggy,x4764,12/08/2023,7576877913,Food
Rs 4797.05 received to Flipkart from your A/c x5603 on 13/02/2025. Ref 2375298317,4797.05,received,Axis,Flipkart,x5603,13/02/2025,2375298317,Grocery
Rs 7337.24 received to Flipkart from your A/c x1604 on 17/11/2023. Ref 3833957857,7337.24,received,Kotak,Flipkart,x1604,17/11/2023,3833957857,Grocery
Rs 6584.17 debited to BigBasket from your A/c x1706 on 14/12/2024. Ref 3882899624,6584.17,debited,HDFC,BigBasket,x1706,14/12/2024,3882899624,Transport
Rs 2536.52 sent to Uber from your A/c x4139 on 09/10/2023. Ref 8313667454,2536.52,sent,SBI,Uber,x4139,09/10/2023,8313667454,Shopping
Rs 3992.16 debited to BigBasket from your A/c x4231 on 10/05/2024. Ref 1690756445,3992.16,debited,Axis,BigBasket,x4231,10/05/2024,1690756445,Transport
Rs 2512.73 received to BigBasket from your A/c x9670 on 16/05/2023. Ref 1618054002,2512.73,received,HSBC,BigBasket,x9670,16/05/2023,1618054002,Transport
Rs 2065.89 sent to BigBasket from your A/c x8794 on 14/04/2024. Ref 7791445093,2065.89,sent,HDFC,BigBasket,x8794,14/04/2024,7791445093,Transport
Rs 8769.59 debited to Amazon from your A/c x1695 on 20/12/2024. Ref 9736417653,8769.59,debited,HDFC,Amazon,x1695,20/12/2024,9736417653,Shopping
Rs 6436.32 sent to Swiggy from your A/c x2219 on 15/08/2024. Ref 7231726222,6436.32,sent,HDFC,Swiggy,x2219,15/08/2024,7231726222,Food
Rs 5131.45 sent to Flipkart from your A/c x1011 on 11/05/2023. Ref 1689494430,5131.45,sent,HSBC,Flipkart,x1011,11/05/2023,1689494430,Grocery
Rs 4991.42 debited to Flipkart from your A/c x6318 on 02/03/2024. Ref 6442018368,4991.42,debited,HDFC,Flipkart,x6318,02/03/2024,6442018368,Grocery
Rs 6067.03 received to Amazon from your A/c x6644 on 03/04/2024. Ref 8417569817,6067.03,received,Axis,Amazon,x6644,03/04/2024,8417569817,Shopping
Rs 7853.13 sent to Flipkart from your A/c x8040 on 30/03/2024. Ref 5541498574,7853.13,sent,Kotak,Flipkart,x8040,30/03/2024,5541498574,Grocery
Rs 8236.95 received to Zomato from your A/c x9015 on 15/11/2024. Ref 2230942254,8236.95,received,ICICI,Zomato,x9015,15/11/2024,2230942254,Food
Rs 1726.78 sent to BigBasket from your A/c x2290 on 22/04/2023. Ref 6568379418,1726.78,sent,HDFC,BigBasket,x2290,22/04/2023,6568379418,Transport
Rs 944.48 received to Swiggy from your A/c x3580 on 13/07/2023. Ref 2902981285,944.48,received,SBI,Swiggy,x3580,13/07/2023,2902981285,Food
Rs 2644.19 sent to BigBasket from your A/c x2150 on 13/02/2025. Ref 6025205263,2644.19,sent,SBI,BigBasket,x2150,13/02/2025,6025205263,Transport
Rs 3652.79 sent to BigBasket from your A/c x1538 on 17/07/2023. Ref 1701501527,3652.79,sent,HDFC,BigBasket,x1538,17/07/2023,1701501527,Transport
Rs 3043.02 received to Amazon from your A/c x6115 on 10/10/2023. Ref 8886143479,3043.02,received,SBI,Amazon,x6115,10/10/2023,8886143479,Shopping
Rs 6130.87 sent to Uber from your A/c x6513 on 23/03/2023. Ref 2125440531,6130.87,sent,Kotak,Uber,x6513,23/03/2023,2125440531,Shopping
Rs 5190.93 debited to Swiggy from your A/c x8610 on 11/10/2024. Ref 1380584629,5190.93,debited,Axis,Swiggy,x8610,11/10/2024,1380584629,Food
Rs 2210.34 sent to BigBasket from your A/c x2522 on 18/01/2024. Ref 7039378952,2210.34,sent,ICICI,BigBasket,x2522,18/01/2024,7039378952,Transport
Rs 8565.52 credited to Amazon from your A/c x7039 on 26/07/2024. Ref 6267442253,8565.52,credited,Kotak,Amazon,x7039,26/07/2024,6267442253,Shopping
Rs 2915.1 received to Flipkart from your A/c x9966 on 12/04/2023. Ref 1392154189,2915.1,received,HSBC,Flipkart,x9966,12/04/2023,1392154189,Grocery
Rs 8493.71 sent to Flipkart from your A/c x3702 on 19/12/2023. Ref 9389560050,8493.71,sent,SBI,Flipkart,x3702,19/12/2023,9389560050,Grocery
Rs 8750.42 received to BigBasket from your A/c x5849 on 02/06/2024. Ref 5191332694,8750.42,received,Axis,BigBasket,x5849,02/06/2024,5191332694,Transport
Rs 5703.25 debited to Flipkart from your A/c x7355 on 02/02/2025. Ref 4101699653,5703.25,debited,Axis,Flipkart,x7355,02/02/2025,4101699653,Grocery
Rs 5575.81 received to Swiggy from your A/c x8285 on 21/05/2023. Ref 9633341826,5575.81,received,HSBC,Swiggy,x8285,21/05/2023,9633341826,Food
Rs 5786.88 credited to Uber from your A/c x8714 on 28/03/2024. Ref 2218120819,5786.88,credited,ICICI,Uber,x8714,28/03/2024,2218120819,Shopping
Rs 5046.83 credited to BigBasket from your A/c x8653 on 03/04/2024. Ref 4199460113,5046.83,credited,HSBC,BigBasket,x8653,03/04/2024,4199460113,Transport
Rs 158.36 received to BigBasket from your A/c x5743 on 25/09/2023. Ref 9565840803,158.36,received,HDFC,BigBasket,x5743,25/09/2023,9565840803,Transport
Rs 7290.17 credited to Swiggy from your A/c x2003 on 03/05/2023. Ref 8212263096,7290.17,credited,Kotak,Swiggy,x2003,03/05/2023,8212263096,Food
Rs 6216.47 sent to BigBasket from your A/c x9605 on 04/12/2024. Ref 2125823249,6216.47,sent,HDFC,BigBasket,x9605,04/12/2024,2125823249,Transport
Rs 1926.11 credited to Swiggy from your A/c x5667 on 06/02/2025. Ref 2060884823,1926.11,credited,HSBC,Swiggy,x5667,06/02/2025,2060884823,Food
Rs 6003.19 received to Swiggy from your A/c x2129 on 15/12/2023. Ref 3223786710,6003.19,received,Kotak,Swiggy,x2129,15/12/2023,3223786710,Food
Rs 742.14 sent to BigBasket from your A/c x3654 on 21/08/2023. Ref 8134804086,742.14,sent,SBI,BigBasket,x3654,21/08/2023,8134804086,Transport
Rs 633.42 debited to Flipkart from your A/c x4382 on 21/12/2023. Ref 7933088225,633.42,debited,SBI,Flipkart,x4382,21/12/2023,7933088225,Grocery
Rs 6331.02 credited to Zomato from your A/c x1681 on 05/12/2024. Ref 9163093882,6331.02,credited,HDFC,Zomato,x1681,05/12/2024,9163093882,Food
Rs 2039.24 sent to Swiggy from your A/c x4523 on 06/09/2024. Ref 4378057835,2039.24,sent,SBI,Swiggy,x4523,06/09/2024,4378057835,Food
Rs 7721.58 received to Zomato from your A/c x7772 on 31/03/2023. Ref 5846254974,7721.58,received,HDFC,Zomato,x7772,31/03/2023,5846254974,Food
Rs 6500.04 received to Swiggy from your A/c x8658 on 25/09/2024. Ref 8580406986,6500.04,received,Kotak,Swiggy,x8658,25/09/2024,8580406986,Food
Rs 1136.97 credited to Swiggy from your A/c x8081 on 14/03/2024. Ref 2396653967,1136.97,credited,SBI,Swiggy,x8081,14/03/2024,2396653967,Food
Rs 9532.92 debited to Amazon from your A/c x6746 on 13/01/2024. Ref 4313805515,9532.92,debited,ICICI,Amazon,x6746,13/01/2024,4313805515,Shopping
Rs 741.65 debited to Swiggy from your A/c x4982 on 21/01/2025. Ref 3514512030,741.65,debited,HSBC,Swiggy,x4982,21/01/2025,3514512030,Food
Rs 6875.32 debited to Amazon from your A/c x9358 on 21/05/2024. Ref 6908176486,6875.32,debited,HDFC,Amazon,x9358,21/05/2024,6908176486,Shopping
Rs 6398.8 received to Zomato from your A/c x7686 on 05/10/2023. Ref 1979655127,6398.8,received,Axis,Zomato,x7686,05/10/2023,1979655127,Food
Rs 7316.09 credited to Flipkart from your A/c x4192 on 22/04/2023. Ref 9966313078,7316.09,credited,Kotak,Flipkart,x4192,22/04/2023,9966313078,Grocery
Rs 162.31 credited to Swiggy from your A/c x4510 on 19/03/2023. Ref 6354091402,162.31,credited,SBI,Swiggy,x4510,19/03/2023,6354091402,Food
Rs 6609.51 debited to Zomato from your A/c x3721 on 17/02/2025. Ref 6294168730,6609.51,debited,HSBC,Zomato,x3721,17/02/2025,6294168730,Food
Rs 7455.54 sent to Uber from your A/c x3602 on 19/09/2023. Ref 2971695928,7455.54,sent,Axis,Uber,x3602,19/09/2023,2971695928,Shopping
Rs 2640.22 credited to Flipkart from your A/c x1588 on 26/02/2025. Ref 2302813251,2640.22,credited,Axis,Flipkart,x1588,26/02/2025,2302813251,Grocery
Rs 4315.33 debited to Uber from your A/c x9080 on 17/02/2025. Ref 1333292776,4315.33,debited,SBI,Uber,x9080,17/02/2025,1333292776,Shopping
Rs 2200.73 credited to Amazon from your A/c x4843 on 12/12/2023. Ref 2766289295,2200.73,credited,HSBC,Amazon,x4843,12/12/2023,2766289295,Shopping
Rs 3226.24 credited to BigBasket from your A/c x2067 on 14/09/2023. Ref 1692289962,3226.24,credited,HDFC,BigBasket,x2067,14/09/2023,1692289962,Transport
Rs 967.89 credited to Flipkart from your A/c x4545 on 23/03/2023. Ref 9101320153,967.89,credited,Kotak,Flipkart,x4545,23/03/2023,9101320153,Grocery
Rs 3254.84 debited to Zomato from your A/c x5195 on 27/04/2023. Ref 8833551127,3254.84,debited,SBI,Zomato,x5195,27/04/2023,8833551127,Food
Rs 7013.48 debited to Swiggy from your A/c x8635 on 10/04/2024. Ref 4059210980,7013.48,debited,Axis,Swiggy,x8635,10/04/2024,4059210980,Food
Rs 5480.21 sent to BigBasket from your A/c x3485 on 18/10/2023. Ref 3407936864,5480.21,sent,Kotak,BigBasket,x3485,18/10/2023,3407936864,Transport
Rs 7849.78 credited to Flipkart from your A/c x6515 on 14/02/2025. Ref 9886530541,7849.78,credited,SBI,Flipkart,x6515,14/02/2025,9886530541,Grocery
Rs 1559.64 credited to Amazon from your A/c x9701 on 21/01/2024. Ref 2437113404,1559.64,credited,ICICI,Amazon,x9701,21/01/2024,2437113404,Shopping
Rs 9289.36 credited to BigBasket from your A/c x8841 on 06/05/2024. Ref 8219426043,9289.36,credited,HDFC,BigBasket,x8841,06/05/2024,8219426043,Transport
Rs 8406.62 sent to Swiggy from your A/c x9901 on 21/08/2024. Ref 9843389233,8406.62,sent,HDFC,Swiggy,x9901,21/08/2024,9843389233,Food
Rs 2358.87 debited to Amazon from your A/c x8964 on 06/05/2024. Ref 9637982034,2358.87,debited,HDFC,Amazon,x8964,06/05/2024,9637982034,Shopping
Rs 7775.14 sent to Amazon from your A/c x1378 on 29/11/2024. Ref 4287525994,7775.14,sent,HDFC,Amazon,x1378,29/11/2024,4287525994,Shopping
Rs 4697.67 received to Swiggy from your A/c x6284 on 22/06/2023. Ref 2776737771,4697.67,received,ICICI,Swiggy,x6284,22/06/2023,2776737771,Food
Rs 7326.6 received to Uber from your A/c x4315 on 26/09/2024. Ref 5712430523,7326.6,received,Kotak,Uber,x4315,26/09/2024,5712430523,Shopping
Rs 8905.46 received to Swiggy from your A/c x8800 on 23/03/2023. Ref 3339540651,8905.46,received,HSBC,Swiggy,x8800,23/03/2023,3339540651,Food
Rs 909.56 debited to Amazon from your A/c x9362 on 08/03/2025. Ref 9112053205,909.56,debited,HDFC,Amazon,x9362,08/03/2025,9112053205,Shopping
Rs 4263.99 credited to Zomato from your A/c x8111 on 19/03/2023. Ref 9974439610,4263.99,credited,SBI,Zomato,x8111,19/03/2023,9974439610,Food
Rs 6020.56 sent to BigBasket from your A/c x7428 on 02/08/2024. Ref 2423434314,6020.56,sent,HDFC,BigBasket,x7428,02/08/2024,2423434314,Transport
Rs 6847.17 debited to Zomato from your A/c x8438 on 16/06/2023. Ref 7102992254,6847.17,debited,HDFC,Zomato,x8438,16/06/2023,7102992254,Food
Rs 1745.09 credited to Flipkart from your A/c x6651 on 03/10/2023. Ref 7634603053,1745.09,credited,Kotak,Flipkart,x6651,03/10/2023,7634603053,Grocery
Rs 9953.88 debited to Zomato from your A/c x5905 on 25/11/2024. Ref 8021830650,9953.88,debited,SBI,Zomato,x5905,25/11/2024,8021830650,Food
